bio1,bio12,tconmean,lenferr,lenroadr,urbr,popdi,numazr,redre,coorx,coory,fnat,frob,nocom,noreg,areagis_ha,popde,shdi
10.88,852.2,20,0.288777545,3.066570156,0.068820225,0.080604534,3.59,12119,385708,5013152,0,0.089511498,Mathi,Piemonte,707.059791,562,1.701498256
11.9,851,21,0,2.130012208,0.055993691,0.285241562,7.73,10733,400093,5009831,0,0.179760613,Lombardore,Piemonte,1271.575718,123,1.532554294
12.2,831,21.2,0.2266031,1.631994507,0.06150889,0.021994691,10.21,10413,409721,5009658,0,0.107751775,Montanaro,Piemonte,2090.36063,256,1.058534012
12.16666667,809.6666667,20.93333333,0.287383776,2.369529371,1,0.474637681,17.8,9745,422633,5001493,0.14,0.057161416,Monteu da Po,Piemonte,738.9581819,120,1.389522503
12.03333333,780.3333333,21,0,2.29449239,0.01540832,0.144167759,4.34,10085,416214,4987389,0,0.239617844,Moriondo Torinese,Piemonte,648.9519792,124,1.593086328
12.8,814.5,21.65,0.174316379,5.597729359,0.50872093,0.00541943,10.79,10128,391527,4982774,0.05,0.027642284,Nichelino,Piemonte,2056.27225,2340,1.816410895
11.8,839.5,20.85,0,2.340689127,0.089798851,0.155549962,7.5,10448,416869,5015068,0,0.164009012,Mazzè,Piemonte,2734.243713,146,1.51196788
11.6,848,20.7,0.195301273,2.894137723,0.102929533,0.057335582,4.21,11034,411429,5023172,0,0.285615945,Mercenasco,Piemonte,1263.833401,95,1.386223016
12,784,21,0,2.436657068,0.02195122,0.313924051,4.12,12724,414761,4988320,0,0.044115126,Mombello di Torino,Piemonte,408.2478523,92,0.374549608
12.46,805.4,21.28,0.235579618,4.048642464,0.162502624,0.025492034,4.9,14101,397721,4982476,0.02,0.034610594,Moncalieri,Piemonte,4752.876385,1156,1.788985918
12,800,21,0,2.87185079,0.010729614,0.580645161,5.33,10340,409727,4991025,0,0.136427084,Montaldo Torinese,Piemonte,465.6720507,138,0.932429329
11.475,850.75,20.65,0,2.92301446,0.183767228,0.088764045,4.24,11216,408684,5020487,0.25,0.164561463,Montalenghe,Piemonte,646.8104502,136,1.532361216
11.575,850.25,20.7,0.393026788,2.904604038,0.086799277,0.120307167,4.26,10034,401987,5021942,0,0,Ozegna,Piemonte,540.5849536,216,0.648035056
11.5,854,20.5,0.157309636,2.931264574,0.353982301,0.07753925,3.31,11043,387612,5011013,0,0.105408262,Nole,Piemonte,1135.301751,571,1.188897474
12.8,803,21.1,0.152782028,2.231883688,0.066504461,0.052699394,12.73,10278,385516,4977317,0,0.014759234,None,Piemonte,2464.216113,319,1.041492382
12.5,827,21.4,0.122124777,4.384494145,0,0.024002595,9.86,11100,386202,4984604,0,0.01822783,Orbassano,Piemonte,2220.783612,983,1.652272696
11.6,849,20.8,0,2.499283098,0.126404494,0.006402049,6.07,11945,410190,5019779,0,0.191344823,Orio Canavese,Piemonte,715.4074596,112,1.654621141
12.4,780,20,0,3.55456379,0.021978022,0.566737288,3.92,11127,369454,4967492,0,0.053511888,Osasco,Piemonte,548.8539752,190,0.903445432
11.05,856.25,20.225,0,2.914020623,0.050359712,0.128964059,1.83,13226,405817,5030637,0,0.301160455,Parella,Piemonte,268.8578024,165,1.325412849
11.7,805,20.55,0,2.842246989,0.342465753,0.15180957,4.19,21117,403735,4988597,0.14,0.11942932,Pino Torinese,Piemonte,2181.956982,392,1.206158888
12.8,803,21.3,0,1.8765246,0.192991366,0.166460396,8.75,11221,389784,4975079,0,0,Piobesi Torinese,Piemonte,1964.877703,174,0.615441856
11.85,809,20.9,0,3.717819541,0.011363636,0.451086957,2.67,12455,408130,4992144,0,0.1685355,Pavarolo,Piemonte,440.5611872,212,1.341503657
11.7,849,20.6,0,3.641729718,0.082511211,0.04157839,3.86,12620,410126,5031261,0,0.089237435,Pavone Canavese,Piemonte,1154.000099,342,1.738238424
12.075,806.75,20.975,0,3.051560853,0.640829694,0.1899729,3.32,19354,401731,4985716,0.1,0.122315491,Pecetto Torinese,Piemonte,917.301441,409,1.265427145
11.525,850.25,20.55,0,2.151293517,0.015873016,0.143112701,4.73,11315,408813,5028822,0,0.081669499,Perosa Canavese,Piemonte,470.8038385,117,1.30777557
12.2,788,20,0.130687157,4.638197725,0.110779634,0.077237714,5.82,12005,369552,4972199,0.08,0.02008439,Pinerolo,Piemonte,5033.764373,681,1.6714119
11.1,851,20.2,0,3.691052898,0.00248139,0.623748212,2.39,11044,393386,5022862,0.5,0.093129542,Pertusio,Piemonte,400.4121351,183,1.047267445
12.2,847,21.3,0,3.728019698,0.106060606,0.052242791,12.16,12318,386251,4996617,0,0.010435269,Pianezza,Piemonte,1646.339172,711,1.004818688
12.4,729,20.5,0,2.350890246,0.011409396,0.559133815,8.9,9996,412870,4967206,0,0.162530365,Pralormo,Piemonte,2984.547878,61,1.304052835
12.4,806,20.65,0,2.367370659,0.245061265,0.047279712,9.64,11474,377796,4982651,0.08,0.011956389,Piossasco,Piemonte,4014.585757,424,1.934301404
12.58,793.2,20.52,0.384755209,4.017139515,0.080645161,0.264144946,6.01,9836,375815,4975325,0,0.021517863,Piscina,Piemonte,990.3442275,322,0.283078469
12.58,756,20.94,0,2.219812243,0.015852048,0.121401473,15.07,10251,408637,4972781,0,0.020431481,Poirino,Piemonte,7561.862935,124,0.326150213
10.75,861,20,0,2.305940137,0.005181347,0.124610592,0.95,14500,404628,5030781,0,0.28326791,Quagliuzzo,Piemonte,203.7998035,173,0.750335795
11.66666667,815.3333333,20.2,0,1.938577341,0.136778116,0.052887961,4.62,12160,376240,4990045,0.38,0.034669507,Reano,Piemonte,666.5829287,229,0.979085104
12.4,822,21.1,0,3.063996489,0.087128713,0.026017649,6.99,11878,383406,4986513,0.04,0.06932164,Rivalta di Torino,Piemonte,2510.762342,723,1.739826841
